GEO (Codes)	X1	X3	X4	X5	X6	X7	X8	X9	X10	X12
SI03	1094435	46.1	319.1	169.5	70.6	39.9	91.7	54.5	39.6	25.9
FI1B	1671024	97.1	348.3	467.8	76.5	61	83	61.4	36.5	83.1
SE11	2344124	184.2	483.6	682	80.3	50.8	88.5	72.7	36.6	124
SE21	864630	81.8	212	161.1	80.9	69.9	85.5	68.7	36.4	10.6
SE22	1521848	121.2	318.2	347.1	72.6	45.6	86.1	64.7	36.3	33.1
SE23	2039166	165.3	506.2	448.6	75.1	64.8	86.3	70.4	36.3	45.2
IS00	356991	50.8	74.2	83.3	84.6	73.1	93.5	78.4	39.2	10.3
CH01	1642580	141.3	365.7	366.2	80	73	85.9	60.2	35.2	47
CH02	1877154	140.3	525.6	408.2	82.9	74.5	89.5	65.6	34	72.7
CH03	1161105	74.7	295.3	291.1	86	68.8	89.8	65.3	34.2	50.1
CH04	1520968	99	342.8	468.4	87.4	77.4	91.1	68.5	34.7	69.3
CH05	1176321	92.8	342.2	252.3	83.5	71.4	89	66.8	34.8	33.1
CH06	813056	60.2	235.7	197.8	85.1	74.5	87.8	70.5	34.4	27.9
CH07	353343	23.4	82.4	72	75.3	62.6	83	54.8	34.8	6.7
UKD3	2822003	239	591.5	599	75	72.5	83.1	60.4	36.7	68.1
UKE1	932645	90.9	217.5	137.6	80.8	77.9	90.6	56.1	36.2	17.1
UKE3	1404971	104.4	295.6	267.9	80.9	71.2	86.4	56.4	35.9	14.7
UKE4	2324560	223.6	474.4	448.3	75.8	56.9	92.6	59.4	36.1	46.9
UKF1	2210381	172.5	515.1	430.4	80.2	73.9	83.9	61	36.2	47.9
UKF2	1843764	166.1	436.2	368.4	84	78.8	92.1	62.9	36.6	36
UKG1	1352539	111.1	299.6	273.7	87.2	84.5	92.8	60.6	36.6	34.3
UKG2	1626956	135.9	374.3	314	86.6	78.2	91.4	61.1	37	29.9
UKG3	2928377	304	590.9	512.1	67.7	51.1	80.5	57.6	35.8	36.7
UKH1	2521676	232.5	560.9	485.8	87.2	75.3	97.3	61.5	36.1	74.6
UKH2	1871847	142.4	374	448.5	87.6	81.9	92	63.4	37.4	67.5
UKH3	1841887	195.9	401	339.4	82.2	70.7	89.7	62	36.8	37.6
UKI3	1190513	41.8	126.2	492.8	83.1	60.1	89.5	65.1	40.7	52.1
UKI4	2430890	136.5	340	939	87.1	64.1	94.9	69.4	37.9	120.8
UKI5	1940638	146.3	379.3	481.8	82	58.3	86.8	63	36.9	49.3
UKI6	1316772	87.4	237.6	394.5	84.7	67.2	89.6	66.7	37.4	51.9
UKI7	2103443	113.8	288.1	666.8	80.4	73.6	86.6	61.7	37.9	92.6
UKJ1	2417428	160.7	490.8	665.9	87.4	74.9	93	67.1	37	153.1
UKJ2	2909838	196.4	554.3	734.1	79.7	65.1	88.1	62.7	35.7	95.2
UKJ3	1993050	135.4	408	457.8	81.2	80	85	60.9	35.9	69.1
UKJ4	1854717	172.8	381.8	378.4	92.6	90.2	91.7	60.5	36.3	31.6
UKK1	2516568	218.2	530.2	591.3	84.9	62.2	87.4	64.1	35.8	63.1
UKK2	1336003	109.9	280.4	254.2	88.5	82.2	94.2	59	35.6	26.2
UKM7	1998699	150.3	344.4	552.8	81.3	87.9	90.2	62.3	36.5	40.9
MK00	2076953	182.1	540.5	240.8	48.3	38.1	72.8	45.9	41.4	19.8
RS11	1691919	47.2	418.3	338.7	67.5	38.7	82.4	51.5	42.1	56.7
RS12	1856911	134	516	190.4	63.9	38.4	87.1	48.4	42.2	21.6
RS21	1916855	203.7	529.5	167.7	65.5	39.5	70.6	49.5	44.2	10.3
TR21	1802315	455.9	201.8	188.6	60.2	59.4	74.9	53	43.5	9.9
TR22	1767237	352.2	145.4	180.7	42.9	39.7	69.3	44.3	45.9	3.1
TR31	4320519	936	425.9	561.5	52.8	37.8	85.9	47.2	44.6	17.5
TR32	3093015	774.1	271.3	319.7	59.7	57.5	66.9	51.2	45.3	3.5
TR33	3100666	746	252.4	254.3	48.6	51.6	84.6	47.6	44.9	5.8
TR41	4089156	768.3	431.6	441.2	51.1	39.7	76.5	45.5	45.3	11.1
TR42	3878979	796.4	424.3	380.5	43.4	22.8	90.2	46.8	45.1	16.2
TR51	5503985	836.9	563.4	863.8	51	35.6	65.2	45.3	44	54.6
TR62	4034593	803.6	327.2	355.4	51.3	36.5	71.9	43.6	44.4	6.3
TR63	3289122	650.2	225.2	238.7	50.1	44.6	100	39.2	45.6	1.3
TR81	1046711	232.5	87.1	98.5	49.2	34.7	86.8	46.3	44.2	2
TR83	2822353	705.5	208	215.5	76.4	78.9	84.3	49.3	42.2	3.7
TR90	2719113	686.8	241.1	239.8	40.7	30.8	69.5	50.8	45.3	1.8
TRB1	1762077	357.7	139.9	164.4	60.4	52.6	85.4	46.3	43.3	2.2
